time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-20 00:00:00+00:00,9.0,3.0,46,4
2023-03-21 00:00:00+00:00,23.0,10.0,20,4
2023-03-22 00:00:00+00:00,8.0,3.0,16,6
2023-03-23 00:00:00+00:00,1.0,1.0,38,9
2023-03-24 00:00:00+00:00,9.0,6.0,28,4
2023-03-25 00:00:00+00:00,8.0,5.0,3,3
2023-03-26 00:00:00+00:00,,,1,1
2023-03-27 00:00:00+00:00,6.0,5.0,15,7
2023-03-28 00:00:00+00:00,4.0,2.0,10,5
2023-03-29 00:00:00+00:00,15.0,7.0,9,2
2023-03-30 00:00:00+00:00,5.0,5.0,10,3
2023-03-31 00:00:00+00:00,13.0,8.0,43,8
2023-04-01 00:00:00+00:00,,,5,1
2023-04-02 00:00:00+00:00,,,3,2
