time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-14 00:00:00+00:00,,,43,4
2023-03-15 00:00:00+00:00,1.0,1.0,5,1
2023-03-16 00:00:00+00:00,5.0,2.0,149,7
2023-03-17 00:00:00+00:00,13.0,6.0,142,9
2023-03-18 00:00:00+00:00,1.0,1.0,15,4
2023-03-19 00:00:00+00:00,2.0,2.0,17,3
2023-03-20 00:00:00+00:00,9.0,3.0,46,4
2023-03-21 00:00:00+00:00,23.0,10.0,20,4
2023-03-22 00:00:00+00:00,8.0,3.0,16,6
2023-03-23 00:00:00+00:00,1.0,1.0,38,9
2023-03-24 00:00:00+00:00,9.0,6.0,28,4
2023-03-25 00:00:00+00:00,8.0,5.0,3,3
2023-03-26 00:00:00+00:00,,,1,1
2023-03-27 00:00:00+00:00,5.0,4.0,15,7
